"BRANCHES","ID","STNAME","TOTAL","YEAR"
3378,"CB_1979_NY","New York",219,"1979"
2106,"CB_1979_OH","Ohio",407,"1979"
248,"CB_1979_OK","Oklahoma",489,"1979"
548,"CB_1979_OR","Oregon",75,"1979"
270,"CB_1979_OT","Other Areas",13,"1979"
2477,"CB_1979_PA","Pennsylvania",367,"1979"
220,"CB_1979_PR","Puerto Rico",12,"1979"
221,"CB_1979_RI","Rhode Island",14,"1979"
687,"CB_1979_SC","South Carolina",85,"1979"
158,"CB_1979_SD","South Dakota",154,"1979"
992,"CB_1979_TN","Tennessee",350,"1979"
234,"CB_1979_TX","Texas",1422,"1979"
36521,"CB_1979_US","United States",14351,"1979"
36791,"CB_1979_USA","United States & Other Areas",14364,"1979"
273,"CB_1979_UT","Utah",74,"1979"
1372,"CB_1979_VA","Virginia",233,"1979"
24,"CB_1979_VI","Virgin Islands Of The U.S.",0,"1979"
159,"CB_1979_VT","Vermont",29,"1979"
884,"CB_1979_WA","Washington",101,"1979"
500,"CB_1979_WI","Wisconsin",631,"1979"
59,"CB_1979_WV","West Virginia",235,"1979"
3,"CB_1979_WY","Wyoming",94,"1979"
112,"CB_1978_AK","Alaska",12,"1978"
553,"CB_1978_AL","Alabama",312,"1978"
372,"CB_1978_AR","Arkansas",259,"1978"
3,"CB_1978_AS","American Samoa",0,"1978"
484,"CB_1978_AZ","Arizona",20,"1978"
3897,"CB_1978_CA","California",229,"1978"
81,"CB_1978_CO","Colorado",299,"1978"
587,"CB_1978_CT","Connecticut",65,"1978"
138,"CB_1978_DC","District Of Columbia",17,"1978"
147,"CB_1978_DE","Delaware",17,"1978"
743,"CB_1978_FL","Florida",612,"1978"
11,"CB_1978_FM","Federated States of Micronesia",0,"1978"
786,"CB_1978_GA","Georgia",440,"1978"
12,"CB_1978_GU","Guam",1,"1978"
157,"CB_1978_HI","Hawaii",8,"1978"
500,"CB_1978_IA","Iowa",650,"1978"
228,"CB_1978_ID","Idaho",24,"1978"
394,"CB_1978_IL","Illinois",1241,"1978"
1035,"CB_1978_IN","Indiana",404,"1978"
256,"CB_1978_KS","Kansas",616,"1978"
644,"CB_1978_KY","Kentucky",343,"1978"
715,"CB_1978_LA","Louisiana",256,"1978"
923,"CB_1978_MA","Massachusetts",146,"1978"
855,"CB_1978_MD","Maryland",106,"1978"
293,"CB_1978_ME","Maine",43,"1978"
1791,"CB_1978_MI","Michigan",364,"1978"
176,"CB_1978_MN","Minnesota",758,"1978"
399,"CB_1978_MO","Missouri",714,"1978"
635,"CB_1978_MS","Mississippi",184,"1978"
23,"CB_1978_MT","Montana",160,"1978"
1673,"CB_1978_NC","North Carolina",88,"1978"
117,"CB_1978_ND","North Dakota",171,"1978"
199,"CB_1978_NE","Nebraska",452,"1978"
135,"CB_1978_NH","New Hampshire",78,"1978"
1535,"CB_1978_NJ","New Jersey",184,"1978"
227,"CB_1978_NM","New Mexico",86,"1978"
130,"CB_1978_NV","Nevada",9,"1978"
3306,"CB_1978_NY","New York",225,"1978"
1941,"CB_1978_OH","Ohio",481,"1978"
217,"CB_1978_OK","Oklahoma",478,"1978"
522,"CB_1978_OR","Oregon",60,"1978"
267,"CB_1978_OT","Other Areas",13,"1978"
2425,"CB_1978_PA","Pennsylvania",370,"1978"
217,"CB_1978_PR","Puerto Rico",12,"1978"
216,"CB_1978_RI","Rhode Island",14,"1978"
662,"CB_1978_SC","South Carolina",87,"1978"
149,"CB_1978_SD","South Dakota",155,"1978"
953,"CB_1978_TN","Tennessee",348,"1978"
203,"CB_1978_TX","Texas",1395,"1978"
34524,"CB_1978_US","United States",14378,"1978"
34791,"CB_1978_USA","United States & Other Areas",14391,"1978"
253,"CB_1978_UT","Utah",66,"1978"
1302,"CB_1978_VA","Virginia",262,"1978"
24,"CB_1978_VI","Virgin Islands Of The U.S.",0,"1978"
147,"CB_1978_VT","Vermont",29,"1978"
785,"CB_1978_WA","Washington",94,"1978"
444,"CB_1978_WI","Wisconsin",628,"1978"
56,"CB_1978_WV","West Virginia",231,"1978"
3,"CB_1978_WY","Wyoming",88,"1978"
106,"CB_1977_AK","Alaska",12,"1977"
509,"CB_1977_AL","Alabama",310,"1977"
353,"CB_1977_AR","Arkansas",259,"1977"
3,"CB_1977_AS","American Samoa",0,"1977"
465,"CB_1977_AZ","Arizona",17,"1977"
3769,"CB_1977_CA","California",220,"1977"
64,"CB_1977_CO","Colorado",288,"1977"
577,"CB_1977_CT","Connecticut",71,"1977"
133,"CB_1977_DC","District Of Columbia",16,"1977"
143,"CB_1977_DE","Delaware",17,"1977"
507,"CB_1977_FL","Florida",675,"1977"
19,"CB_1977_FM","Federated States of Micronesia",0,"1977"
752,"CB_1977_GA","Georgia",440,"1977"
12,"CB_1977_GU","Guam",1,"1977"
155,"CB_1977_HI","Hawaii",8,"1977"
509,"CB_1977_IA","Iowa",649,"1977"
215,"CB_1977_ID","Idaho",24,"1977"
306,"CB_1977_IL","Illinois",1235,"1977"
995,"CB_1977_IN","Indiana",407,"1977"
208,"CB_1977_KS","Kansas",615,"1977"
606,"CB_1977_KY","Kentucky",343,"1977"
670,"CB_1977_LA","Louisiana",254,"1977"
926,"CB_1977_MA","Massachusetts",145,"1977"
812,"CB_1977_MD","Maryland",108,"1977"
297,"CB_1977_ME","Maine",43,"1977"
1702,"CB_1977_MI","Michigan",361,"1977"
76,"CB_1977_MN","Minnesota",752,"1977"
372,"CB_1977_MO","Missouri",712,"1977"
604,"CB_1977_MS","Mississippi",184,"1977"
21,"CB_1977_MT","Montana",157,"1977"
1644,"CB_1977_NC","North Carolina",89,"1977"
106,"CB_1977_ND","North Dakota",170,"1977"
177,"CB_1977_NE","Nebraska",451,"1977"
126,"CB_1977_NH","New Hampshire",78,"1977"
1498,"CB_1977_NJ","New Jersey",188,"1977"
216,"CB_1977_NM","New Mexico",83,"1977"
119,"CB_1977_NV","Nevada",8,"1977"
3303,"CB_1977_NY","New York",231,"1977"
1827,"CB_1977_OH","Ohio",486,"1977"
175,"CB_1977_OK","Oklahoma",476,"1977"
492,"CB_1977_OR","Oregon",53,"1977"
272,"CB_1977_OT","Other Areas",14,"1977"
2358,"CB_1977_PA","Pennsylvania",381,"1977"
214,"CB_1977_PR","Puerto Rico",13,"1977"
215,"CB_1977_RI","Rhode Island",14,"1977"
629,"CB_1977_SC","South Carolina",88,"1977"
137,"CB_1977_SD","South Dakota",157,"1977"
910,"CB_1977_TN","Tennessee",346,"1977"
176,"CB_1977_TX","Texas",1377,"1977"
32836,"CB_1977_US","United States",14397,"1977"
33108,"CB_1977_USA","United States & Other Areas",14411,"1977"
229,"CB_1977_UT","Utah",71,"1977"
1255,"CB_1977_VA","Virginia",279,"1977"
24,"CB_1977_VI","Virgin Islands Of The U.S.",0,"1977"
145,"CB_1977_VT","Vermont",30,"1977"
766,"CB_1977_WA","Washington",87,"1977"
427,"CB_1977_WI","Wisconsin",623,"1977"
51,"CB_1977_WV","West Virginia",227,"1977"
3,"CB_1977_WY","Wyoming",82,"1977"
98,"CB_1976_AK","Alaska",12,"1976"
484,"CB_1976_AL","Alabama",303,"1976"
341,"CB_1976_AR","Arkansas",257,"1976"
5,"CB_1976_AS","American Samoa",0,"1976"
458,"CB_1976_AZ","Arizona",16,"1976"
3688,"CB_1976_CA","California",210,"1976"
56,"CB_1976_CO","Colorado",281,"1976"
572,"CB_1976_CT","Connecticut",71,"1976"
131,"CB_1976_DC","District Of Columbia",16,"1976"
142,"CB_1976_DE","Delaware",17,"1976"
226,"CB_1976_FL","Florida",752,"1976"
20,"CB_1976_FM","Federated States of Micronesia",0,"1976"
718,"CB_1976_GA","Georgia",441,"1976"
14,"CB_1976_GU","Guam",1,"1976"
153,"CB_1976_HI","Hawaii",8,"1976"
421,"CB_1976_IA","Iowa",652,"1976"
211,"CB_1976_ID","Idaho",24,"1976"
233,"CB_1976_IL","Illinois",1225,"1976"
948,"CB_1976_IN","Indiana",406,"1976"
169,"CB_1976_KS","Kansas",615,"1976"
560,"CB_1976_KY","Kentucky",342,"1976"
634,"CB_1976_LA","Louisiana",254,"1976"
925,"CB_1976_MA","Massachusetts",143,"1976"
783,"CB_1976_MD","Maryland",113,"1976"
291,"CB_1976_ME","Maine",43,"1976"
1631,"CB_1976_MI","Michigan",359,"1976"
57,"CB_1976_MN","Minnesota",750,"1976"
339,"CB_1976_MO","Missouri",706,"1976"
577,"CB_1976_MS","Mississippi",183,"1976"
18,"CB_1976_MT","Montana",155,"1976"
1611,"CB_1976_NC","North Carolina",91,"1976"
90,"CB_1976_ND","North Dakota",169,"1976"
98,"CB_1976_NE","Nebraska",450,"1976"
119,"CB_1976_NH","New Hampshire",77,"1976"
1462,"CB_1976_NJ","New Jersey",195,"1976"
210,"CB_1976_NM","New Mexico",82,"1976"
113,"CB_1976_NV","Nevada",8,"1976"
3257,"CB_1976_NY","New York",230,"1976"
1739,"CB_1976_OH","Ohio",489,"1976"
104,"CB_1976_OK","Oklahoma",469,"1976"
476,"CB_1976_OR","Oregon",46,"1976"
276,"CB_1976_OT","Other Areas",13,"1976"
2322,"CB_1976_PA","Pennsylvania",386,"1976"
211,"CB_1976_PR","Puerto Rico",11,"1976"
214,"CB_1976_RI","Rhode Island",14,"1976"
607,"CB_1976_SC","South Carolina",90,"1976"
129,"CB_1976_SD","South Dakota",156,"1976"
814,"CB_1976_TN","Tennessee",346,"1976"
157,"CB_1976_TX","Texas",1357,"1976"
30931,"CB_1976_US","United States",14380,"1976"
31344,"CB_1976_USA","United States & Other Areas",14410,"1976"
209,"CB_1976_UT","Utah",66,"1976"
1211,"CB_1976_VA","Virginia",283,"1976"
26,"CB_1976_VI","Virgin Islands Of The U.S.",1,"1976"
142,"CB_1976_VT","Vermont",29,"1976"
722,"CB_1976_WA","Washington",85,"1976"
347,"CB_1976_WI","Wisconsin",625,"1976"
49,"CB_1976_WV","West Virginia",222,"1976"
2,"CB_1976_WY","Wyoming",78,"1976"
88,"CB_1975_AK","Alaska",11,"1975"
457,"CB_1975_AL","Alabama",299,"1975"
318,"CB_1975_AR","Arkansas",258,"1975"
5,"CB_1975_AS","American Samoa",0,"1975"
443,"CB_1975_AZ","Arizona",15,"1975"
3578,"CB_1975_CA","California",200,"1975"
54,"CB_1975_CO","Colorado",277,"1975"
564,"CB_1975_CT","Connecticut",71,"1975"
130,"CB_1975_DC","District Of Columbia",16,"1975"
137,"CB_1975_DE","Delaware",17,"1975"
196,"CB_1975_FL","Florida",742,"1975"
20,"CB_1975_FM","Federated States of Micronesia",0,"1975"
691,"CB_1975_GA","Georgia",440,"1975"
17,"CB_1975_GU","Guam",1,"1975"
151,"CB_1975_HI","Hawaii",8,"1975"
408,"CB_1975_IA","Iowa",654,"1975"
200,"CB_1975_ID","Idaho",24,"1975"
216,"CB_1975_IL","Illinois",1206,"1975"
909,"CB_1975_IN","Indiana",405,"1975"
151,"CB_1975_KS","Kansas",615,"1975"
509,"CB_1975_KY","Kentucky",341,"1975"
585,"CB_1975_LA","Louisiana",254,"1975"
902,"CB_1975_MA","Massachusetts",145,"1975"
751,"CB_1975_MD","Maryland",115,"1975"
287,"CB_1975_ME","Maine",45,"1975"
1560,"CB_1975_MI","Michigan",350,"1975"
52,"CB_1975_MN","Minnesota",745,"1975"
320,"CB_1975_MO","Missouri",700,"1975"
546,"CB_1975_MS","Mississippi",185,"1975"
16,"CB_1975_MT","Montana",154,"1975"
1575,"CB_1975_NC","North Carolina",93,"1975"
85,"CB_1975_ND","North Dakota",169,"1975"
96,"CB_1975_NE","Nebraska",448,"1975"
112,"CB_1975_NH","New Hampshire",77,"1975"
1417,"CB_1975_NJ","New Jersey",209,"1975"
206,"CB_1975_NM","New Mexico",80,"1975"
111,"CB_1975_NV","Nevada",8,"1975"
3195,"CB_1975_NY","New York",267,"1975"
1674,"CB_1975_OH","Ohio",495,"1975"
99,"CB_1975_OK","Oklahoma",462,"1975"
447,"CB_1975_OR","Oregon",45,"1975"
276,"CB_1975_OT","Other Areas",12,"1975"
2273,"CB_1975_PA","Pennsylvania",392,"1975"
206,"CB_1975_PR","Puerto Rico",9,"1975"
210,"CB_1975_RI","Rhode Island",14,"1975"
601,"CB_1975_SC","South Carolina",90,"1975"
125,"CB_1975_SD","South Dakota",158,"1975"
772,"CB_1975_TN","Tennessee",342,"1975"
138,"CB_1975_TX","Texas",1336,"1975"
30069,"CB_1975_US","United States",14312,"1975"
30205,"CB_1975_USA","United States & Other Areas",14384,"1975"
204,"CB_1975_UT","Utah",63,"1975"
1173,"CB_1975_VA","Virginia",290,"1975"
28,"CB_1975_VI","Virgin Islands Of The U.S.",2,"1975"
139,"CB_1975_VT","Vermont",31,"1975"
685,"CB_1975_WA","Washington",92,"1975"
336,"CB_1975_WI","Wisconsin",623,"1975"
35,"CB_1975_WV","West Virginia",219,"1975"
2,"CB_1975_WY","Wyoming",77,"1975"
81,"CB_1974_AK","Alaska",10,"1974"
417,"CB_1974_AL","Alabama",293,"1974"
281,"CB_1974_AR","Arkansas",258,"1974"
5,"CB_1974_AS","American Samoa",0,"1974"
425,"CB_1974_AZ","Arizona",17,"1974"
3484,"CB_1974_CA","California",186,"1974"
50,"CB_1974_CO","Colorado",263,"1974"
547,"CB_1974_CT","Connecticut",70,"1974"
126,"CB_1974_DC","District Of Columbia",16,"1974"
130,"CB_1974_DE","Delaware",17,"1974"
121,"CB_1974_FL","Florida",711,"1974"
19,"CB_1974_FM","Federated States of Micronesia",0,"1974"
656,"CB_1974_GA","Georgia",443,"1974"
15,"CB_1974_GU","Guam",1,"1974"
148,"CB_1974_HI","Hawaii",8,"1974"
385,"CB_1974_IA","Iowa",657,"1974"
191,"CB_1974_ID","Idaho",24,"1974"
194,"CB_1974_IL","Illinois",1183,"1974"
842,"CB_1974_IN","Indiana",408,"1974"
127,"CB_1974_KS","Kansas",612,"1974"
471,"CB_1974_KY","Kentucky",341,"1974"
541,"CB_1974_LA","Louisiana",249,"1974"
882,"CB_1974_MA","Massachusetts",147,"1974"
703,"CB_1974_MD","Maryland",114,"1974"
277,"CB_1974_ME","Maine",45,"1974"
1478,"CB_1974_MI","Michigan",346,"1974"
32,"CB_1974_MN","Minnesota",742,"1974"
261,"CB_1974_MO","Missouri",694,"1974"
503,"CB_1974_MS","Mississippi",181,"1974"
14,"CB_1974_MT","Montana",152,"1974"
1537,"CB_1974_NC","North Carolina",91,"1974"
78,"CB_1974_ND","North Dakota",168,"1974"
83,"CB_1974_NE","Nebraska",448,"1974"
99,"CB_1974_NH","New Hampshire",80,"1974"
1336,"CB_1974_NJ","New Jersey",218,"1974"
189,"CB_1974_NM","New Mexico",76,"1974"
105,"CB_1974_NV","Nevada",8,"1974"
3081,"CB_1974_NY","New York",271,"1974"
1613,"CB_1974_OH","Ohio",496,"1974"
96,"CB_1974_OK","Oklahoma",455,"1974"
420,"CB_1974_OR","Oregon",47,"1974"
267,"CB_1974_OT","Other Areas",12,"1974"
2191,"CB_1974_PA","Pennsylvania",399,"1974"
199,"CB_1974_PR","Puerto Rico",9,"1974"
204,"CB_1974_RI","Rhode Island",14,"1974"
581,"CB_1974_SC","South Carolina",91,"1974"
115,"CB_1974_SD","South Dakota",158,"1974"
722,"CB_1974_TN","Tennessee",334,"1974"
123,"CB_1974_TX","Texas",1306,"1974"
28384,"CB_1974_US","United States",14218,"1974"
28651,"CB_1974_USA","United States & Other Areas",14230,"1974"
186,"CB_1974_UT","Utah",54,"1974"
1112,"CB_1974_VA","Virginia",288,"1974"
29,"CB_1974_VI","Virgin Islands Of The U.S.",2,"1974"
131,"CB_1974_VT","Vermont",33,"1974"
661,"CB_1974_WA","Washington",88,"1974"
326,"CB_1974_WI","Wisconsin",620,"1974"
26,"CB_1974_WV","West Virginia",214,"1974"
2,"CB_1974_WY","Wyoming",74,"1974"
73,"CB_1973_AK","Alaska",10,"1973"
369,"CB_1973_AL","Alabama",287,"1973"
227,"CB_1973_AR","Arkansas",254,"1973"
3,"CB_1973_AS","American Samoa",0,"1973"
405,"CB_1973_AZ","Arizona",15,"1973"
3385,"CB_1973_CA","California",174,"1973"
42,"CB_1973_CO","Colorado",255,"1973"
518,"CB_1973_CT","Connecticut",67,"1973"
117,"CB_1973_DC","District Of Columbia",15,"1973"
118,"CB_1973_DE","Delaware",18,"1973"
67,"CB_1973_FL","Florida",641,"1973"
28,"CB_1973_FM","Federated States of Micronesia",0,"1973"
558,"CB_1973_GA","Georgia",432,"1973"
14,"CB_1973_GU","Guam",1,"1973"
147,"CB_1973_HI","Hawaii",8,"1973"
369,"CB_1973_IA","Iowa",661,"1973"
179,"CB_1973_ID","Idaho",24,"1973"
175,"CB_1973_IL","Illinois",1165,"1973"
777,"CB_1973_IN","Indiana",407,"1973"
89,"CB_1973_KS","Kansas",611,"1973"
424,"CB_1973_KY","Kentucky",341,"1973"
490,"CB_1973_LA","Louisiana",244,"1973"
849,"CB_1973_MA","Massachusetts",148,"1973"
643,"CB_1973_MD","Maryland",112,"1973"
260,"CB_1973_ME","Maine",44,"1973"
1398,"CB_1973_MI","Michigan",338,"1973"
24,"CB_1973_MN","Minnesota",737,"1973"
203,"CB_1973_MO","Missouri",681,"1973"
449,"CB_1973_MS","Mississippi",181,"1973"
12,"CB_1973_MT","Montana",149,"1973"
1435,"CB_1973_NC","North Carolina",89,"1973"
72,"CB_1973_ND","North Dakota",167,"1973"
56,"CB_1973_NE","Nebraska",444,"1973"
90,"CB_1973_NH","New Hampshire",80,"1973"
1250,"CB_1973_NJ","New Jersey",221,"1973"
177,"CB_1973_NM","New Mexico",73,"1973"
96,"CB_1973_NV","Nevada",8,"1973"
2870,"CB_1973_NY","New York",276,"1973"
1525,"CB_1973_OH","Ohio",496,"1973"
91,"CB_1973_OK","Oklahoma",447,"1973"
401,"CB_1973_OR","Oregon",44,"1973"
270,"CB_1973_OT","Other Areas",12,"1973"
2059,"CB_1973_PA","Pennsylvania",415,"1973"
195,"CB_1973_PR","Puerto Rico",9,"1973"
199,"CB_1973_RI","Rhode Island",14,"1973"
548,"CB_1973_SC","South Carolina",91,"1973"
108,"CB_1973_SD","South Dakota",159,"1973"
657,"CB_1973_TN","Tennessee",317,"1973"
110,"CB_1973_TX","Texas",1259,"1973"
26403,"CB_1973_US","United States",13964,"1973"
26673,"CB_1973_USA","United States & Other Areas",13976,"1973"
171,"CB_1973_UT","Utah",53,"1973"
1045,"CB_1973_VA","Virginia",271,"1973"
30,"CB_1973_VI","Virgin Islands Of The U.S.",2,"1973"
109,"CB_1973_VT","Vermont",38,"1973"
640,"CB_1973_WA","Washington",86,"1973"
310,"CB_1973_WI","Wisconsin",616,"1973"
15,"CB_1973_WV","West Virginia",210,"1973"
2,"CB_1973_WY","Wyoming",71,"1973"
70,"CB_1972_AK","Alaska",10,"1972"
334,"CB_1972_AL","Alabama",277,"1972"
193,"CB_1972_AR","Arkansas",251,"1972"
3,"CB_1972_AS","American Samoa",0,"1972"
374,"CB_1972_AZ","Arizona",15,"1972"
3254,"CB_1972_CA","California",156,"1972"
35,"CB_1972_CO","Colorado",243,"1972"
498,"CB_1972_CT","Connecticut",63,"1972"
112,"CB_1972_DC","District Of Columbia",14,"1972"
110,"CB_1972_DE","Delaware",18,"1972"
60,"CB_1972_FL","Florida",575,"1972"
29,"CB_1972_FM","Federated States of Micronesia",0,"1972"
483,"CB_1972_GA","Georgia",431,"1972"
13,"CB_1972_GU","Guam",1,"1972"
143,"CB_1972_HI","Hawaii",7,"1972"
345,"CB_1972_IA","Iowa",661,"1972"
170,"CB_1972_ID","Idaho",24,"1972"
148,"CB_1972_IL","Illinois",1149,"1972"
719,"CB_1972_IN","Indiana",405,"1972"
76,"CB_1972_KS","Kansas",606,"1972"
394,"CB_1972_KY","Kentucky",337,"1972"
443,"CB_1972_LA","Louisiana",237,"1972"
810,"CB_1972_MA","Massachusetts",151,"1972"
595,"CB_1972_MD","Maryland",112,"1972"
248,"CB_1972_ME","Maine",43,"1972"
1328,"CB_1972_MI","Michigan",330,"1972"
20,"CB_1972_MN","Minnesota",734,"1972"
132,"CB_1972_MO","Missouri",671,"1972"
406,"CB_1972_MS","Mississippi",181,"1972"
12,"CB_1972_MT","Montana",146,"1972"
1322,"CB_1972_NC","North Carolina",86,"1972"
71,"CB_1972_ND","North Dakota",167,"1972"
48,"CB_1972_NE","Nebraska",440,"1972"
79,"CB_1972_NH","New Hampshire",76,"1972"
1173,"CB_1972_NJ","New Jersey",210,"1972"
150,"CB_1972_NM","New Mexico",71,"1972"
93,"CB_1972_NV","Nevada",8,"1972"
2690,"CB_1972_NY","New York",278,"1972"
1449,"CB_1972_OH","Ohio",503,"1972"
84,"CB_1972_OK","Oklahoma",436,"1972"
381,"CB_1972_OR","Oregon",43,"1972"
263,"CB_1972_OT","Other Areas",12,"1972"
1917,"CB_1972_PA","Pennsylvania",430,"1972"
189,"CB_1972_PR","Puerto Rico",9,"1972"
177,"CB_1972_RI","Rhode Island",14,"1972"
499,"CB_1972_SC","South Carolina",94,"1972"
102,"CB_1972_SD","South Dakota",159,"1972"
594,"CB_1972_TN","Tennessee",310,"1972"
95,"CB_1972_TX","Texas",1231,"1972"
24566,"CB_1972_US","United States",13721,"1972"
24829,"CB_1972_USA","United States & Other Areas",13733,"1972"
160,"CB_1972_UT","Utah",52,"1972"
955,"CB_1972_VA","Virginia",256,"1972"
29,"CB_1972_VI","Virgin Islands Of The U.S.",2,"1972"
98,"CB_1972_VT","Vermont",40,"1972"
611,"CB_1972_WA","Washington",88,"1972"
296,"CB_1972_WI","Wisconsin",608,"1972"
8,"CB_1972_WV","West Virginia",203,"1972"
2,"CB_1972_WY","Wyoming",71,"1972"
65,"CB_1971_AK","Alaska",10,"1971"
303,"CB_1971_AL","Alabama",273,"1971"
179,"CB_1971_AR","Arkansas",251,"1971"
3,"CB_1971_AS","American Samoa",0,"1971"
347,"CB_1971_AZ","Arizona",13,"1971"
3171,"CB_1971_CA","California",144,"1971"
29,"CB_1971_CO","Colorado",235,"1971"
469,"CB_1971_CT","Connecticut",62,"1971"
108,"CB_1971_DC","District Of Columbia",14,"1971"
99,"CB_1971_DE","Delaware",18,"1971"
43,"CB_1971_FL","Florida",534,"1971"
28,"CB_1971_FM","Federated States of Micronesia",0,"1971"
412,"CB_1971_GA","Georgia",428,"1971"
10,"CB_1971_GU","Guam",0,"1971"
140,"CB_1971_HI","Hawaii",7,"1971"
329,"CB_1971_IA","Iowa",658,"1971"
165,"CB_1971_ID","Idaho",24,"1971"
123,"CB_1971_IL","Illinois",1131,"1971"
671,"CB_1971_IN","Indiana",405,"1971"
73,"CB_1971_KS","Kansas",602,"1971"
361,"CB_1971_KY","Kentucky",339,"1971"
414,"CB_1971_LA","Louisiana",234,"1971"
779,"CB_1971_MA","Massachusetts",154,"1971"
567,"CB_1971_MD","Maryland",112,"1971"
237,"CB_1971_ME","Maine",40,"1971"
1252,"CB_1971_MI","Michigan",329,"1971"
17,"CB_1971_MN","Minnesota",728,"1971"
100,"CB_1971_MO","Missouri",666,"1971"
369,"CB_1971_MS","Mississippi",183,"1971"
10,"CB_1971_MT","Montana",143,"1971"
1217,"CB_1971_NC","North Carolina",94,"1971"
70,"CB_1971_ND","North Dakota",166,"1971"
45,"CB_1971_NE","Nebraska",438,"1971"
69,"CB_1971_NH","New Hampshire",72,"1971"
1097,"CB_1971_NJ","New Jersey",209,"1971"
140,"CB_1971_NM","New Mexico",68,"1971"
89,"CB_1971_NV","Nevada",8,"1971"
2547,"CB_1971_NY","New York",285,"1971"
1370,"CB_1971_OH","Ohio",512,"1971"
71,"CB_1971_OK","Oklahoma",435,"1971"
359,"CB_1971_OR","Oregon",44,"1971"
256,"CB_1971_OT","Other Areas",10,"1971"
1824,"CB_1971_PA","Pennsylvania",447,"1971"
187,"CB_1971_PR","Puerto Rico",8,"1971"
171,"CB_1971_RI","Rhode Island",11,"1971"
459,"CB_1971_SC","South Carolina",99,"1971"
100,"CB_1971_SD","South Dakota",159,"1971"
527,"CB_1971_TN","Tennessee",307,"1971"
86,"CB_1971_TX","Texas",1207,"1971"
23080,"CB_1971_US","United States",13602,"1971"
23336,"CB_1971_USA","United States & Other Areas",13612,"1971"
148,"CB_1971_UT","Utah",50,"1971"
887,"CB_1971_VA","Virginia",245,"1971"
28,"CB_1971_VI","Virgin Islands Of The U.S.",2,"1971"
89,"CB_1971_VT","Vermont",41,"1971"
589,"CB_1971_WA","Washington",91,"1971"
286,"CB_1971_WI","Wisconsin",607,"1971"
6,"CB_1971_WV","West Virginia",199,"1971"
2,"CB_1971_WY","Wyoming",71,"1971"
62,"CB_1970_AK","Alaska",10,"1970"
272,"CB_1970_AL","Alabama",272,"1970"
165,"CB_1970_AR","Arkansas",248,"1970"
3,"CB_1970_AS","American Samoa",0,"1970"
323,"CB_1970_AZ","Arizona",12,"1970"
3028,"CB_1970_CA","California",144,"1970"
19,"CB_1970_CO","Colorado",227,"1970"
436,"CB_1970_CT","Connecticut",58,"1970"
103,"CB_1970_DC","District Of Columbia",14,"1970"
87,"CB_1970_DE","Delaware",18,"1970"
33,"CB_1970_FL","Florida",494,"1970"
27,"CB_1970_FM","Federated States of Micronesia",0,"1970"
296,"CB_1970_GA","Georgia",434,"1970"
8,"CB_1970_GU","Guam",0,"1970"
138,"CB_1970_HI","Hawaii",7,"1970"
318,"CB_1970_IA","Iowa",658,"1970"
156,"CB_1970_ID","Idaho",24,"1970"
98,"CB_1970_IL","Illinois",1105,"1970"
632,"CB_1970_IN","Indiana",404,"1970"
69,"CB_1970_KS","Kansas",600,"1970"
328,"CB_1970_KY","Kentucky",339,"1970"
393,"CB_1970_LA","Louisiana",230,"1970"
742,"CB_1970_MA","Massachusetts",158,"1970"
515,"CB_1970_MD","Maryland",114,"1970"
226,"CB_1970_ME","Maine",39,"1970"
1201,"CB_1970_MI","Michigan",329,"1970"
11,"CB_1970_MN","Minnesota",726,"1970"
93,"CB_1970_MO","Missouri",664,"1970"
348,"CB_1970_MS","Mississippi",182,"1970"
5,"CB_1970_MT","Montana",139,"1970"
1112,"CB_1970_NC","North Carolina",97,"1970"
69,"CB_1970_ND","North Dakota",166,"1970"
42,"CB_1970_NE","Nebraska",437,"1970"
63,"CB_1970_NH","New Hampshire",72,"1970"
1012,"CB_1970_NJ","New Jersey",215,"1970"
130,"CB_1970_NM","New Mexico",66,"1970"
86,"CB_1970_NV","Nevada",8,"1970"
2431,"CB_1970_NY","New York",287,"1970"
1304,"CB_1970_OH","Ohio",514,"1970"
60,"CB_1970_OK","Oklahoma",433,"1970"
337,"CB_1970_OR","Oregon",47,"1970"
242,"CB_1970_OT","Other Areas",9,"1970"
1725,"CB_1970_PA","Pennsylvania",463,"1970"
180,"CB_1970_PR","Puerto Rico",8,"1970"
163,"CB_1970_RI","Rhode Island",11,"1970"
418,"CB_1970_SC","South Carolina",102,"1970"
98,"CB_1970_SD","South Dakota",161,"1970"
487,"CB_1970_TN","Tennessee",304,"1970"
76,"CB_1970_TX","Texas",1183,"1970"
21597,"CB_1970_US","United States",13502,"1970"
21839,"CB_1970_USA","United States & Other Areas",13511,"1970"
139,"CB_1970_UT","Utah",48,"1970"
825,"CB_1970_VA","Virginia",233,"1970"
24,"CB_1970_VI","Virgin Islands Of The U.S.",1,"1970"
85,"CB_1970_VT","Vermont",42,"1970"
558,"CB_1970_WA","Washington",90,"1970"
273,"CB_1970_WI","Wisconsin",604,"1970"
5,"CB_1970_WV","West Virginia",200,"1970"
2,"CB_1970_WY","Wyoming",70,"1970"
59,"CB_1969_AK","Alaska",9,"1969"
247,"CB_1969_AL","Alabama",268,"1969"
155,"CB_1969_AR","Arkansas",246,"1969"
3,"CB_1969_AS","American Samoa",0,"1969"
299,"CB_1969_AZ","Arizona",12,"1969"
